codloc;localidad;codpostal;partido;provincia;codpart
"00011436";"AGUA SUCIA";"A4449XAA";"ANTA";"A";"0722"
"00011437";"ALGARROBAL";"A4452XAA";"ANTA";"A";"0722"
"00011438";"ALTO ALEGRE";"A4449XAB";"ANTA";"A";"0722"
"00011440";"APOLINARIO SARAVIA";"";"ANTA";"A";"0722"
"00011442";"ARITA";"A4449XAC";"ANTA";"A";"0722"
"00011443";"BARREALITO";"A4449XAD";"ANTA";"A";"0722"
"00011439";"CABEZA DE ANTA";"A4434XAA";"ANTA";"A";"0722"
"00011444";"CAMPO ALEGRE";"A4449XAE";"ANTA";"A";"0722"
"00011445";"CARRERAS";"A4434XAB";"ANTA";"A";"0722"
"00011446";"CEIBALITO";"A4446XAJ";"ANTA";"A";"0722"
"00011448";"CHORROARIN";"A4446XAL";"ANTA";"A";"0722"
"00011450";"COLONIA HURLINGHAM";"A4449XAZ";"ANTA";"A";"0722"
"00011451";"CORONEL MOLLINEDO";"";"ANTA";"A";"0722"
"00011452";"CORONEL OLLEROS";"A4446XAM";"ANTA";"A";"0722"
"00011453";"CORONEL VIDT";"A4448XAQ";"ANTA";"A";"0722"
"00011454";"DIVISADERO";"A4446XAN";"ANTA";"A";"0722"
"00027530";"EL ALGARROBAL";"A4448XBB";"ANTA";"A";"0722"
"00011441";"EL ARENAL";"A4448XAC";"ANTA";"A";"0722"
"00011455";"EL BORDO";"A4449XBA";"ANTA";"A";"0722"
"00011456";"EL CARMEN";"A4449XAF";"ANTA";"A";"0722"
"00011457";"EL CARRIZAL";"A4446XAA";"ANTA";"A";"0722"
"00011458";"EL JARAVI";"A4446XAB";"ANTA";"A";"0722"
"00011459";"EL LIBANO";"A4434XAC";"ANTA";"A";"0722"
"00011460";"EL MANANTIAL";"A4449XAG";"ANTA";"A";"0722"
"00011461";"EL NARANJO";"A4434XAD";"ANTA";"A";"0722"
"00011462";"EL PACARA";"A4446XAC";"ANTA";"A";"0722"
"00011463";"EL PERICOTE";"A4449XAH";"ANTA";"A";"0722"
"00011511";"EL PORVENIR";"A4452XAS";"ANTA";"A";"0722"
"00011464";"EL QUEBRACHAL";"";"ANTA";"A";"0722"
"00011465";"EL REY";"A4434XAE";"ANTA";"A";"0722"
"00011466";"EL SIMBOLAR";"A4423XAA";"ANTA";"A";"0722"
"00011467";"EL VENCIDO";"A4452XAM";"ANTA";"A";"0722"
"00011468";"EL YESO";"A4449XBB";"ANTA";"A";"0722"
"00011469";"ESPINILLO";"A4449XBC";"ANTA";"A";"0722"
"00011470";"ESQUINA";"A4449XBD";"ANTA";"A";"0722"
"00011471";"ESTANCIA VIEJA";"A4434XAM";"ANTA";"A";"0722"
"00027534";"FINCA LA CHINA";"A4434XAR";"ANTA";"A";"0722"
"00011472";"FINCA MISION ZENTA";"A4448XAR";"ANTA";"A";"0722"
"00011473";"FLORESTA";"A4452XAN";"ANTA";"A";"0722"
"00011474";"FUERTE EL PITO";"A4452XAO";"ANTA";"A";"0722"
"00011475";"GAONA";"A4452XAP";"ANTA";"A";"0722"
"00011476";"GENERAL PIZARRO";"A4449XBE";"ANTA";"A";"0722"
"00011477";"GONZALEZ";"A4434XAF";"ANTA";"A";"0722"
"00011478";"JOAQUIN V GONZALEZ";"";"ANTA";"A";"0722"
"00011479";"KILOMETRO 1088";"A4448XAD";"ANTA";"A";"0722"
"00011480";"KILOMETRO 1104";"A4449XAI";"ANTA";"A";"0722"
"00011481";"KILOMETRO 1152";"A4452XAB";"ANTA";"A";"0722"
"00011482";"LA CUESTITA ANTA";"A4434XAG";"ANTA";"A";"0722"
"00020846";"LA ESPERANZA";"A4448XAY";"ANTA";"A";"0722"
"00020848";"LA LOMITA";"A4448XAZ";"ANTA";"A";"0722"
"00011483";"LA MANGA";"A4446XAD";"ANTA";"A";"0722"
"00011484";"LAGUNA BLANCA";"A4448XAE";"ANTA";"A";"0722"
"00011485";"LAGUNA VERDE";"A4449XAJ";"ANTA";"A";"0722"
"00020851";"LAGUNITA";"A4446XAR";"ANTA";"A";"0722"
"00011486";"LAS BATEAS";"A4449XAK";"ANTA";"A";"0722"
"00016660";"LAS BLANCAS";"A4448XAB";"ANTA";"A";"0722"
"00011487";"LAS FLACAS";"A4434XAH";"ANTA";"A";"0722"
"00020854";"LAS FLECHAS";"A4448XBA";"ANTA";"A";"0722"
"00011488";"LAS FLORES";"A4449XBF";"ANTA";"A";"0722"
"00020856";"LAS HECHERAS";"A4434XAL";"ANTA";"A";"0722"
"00011489";"LAS LAJITAS";"";"ANTA";"A";"0722"
"00011505";"LAS PALMAS";"A4449XAO";"ANTA";"A";"0722"
"00011490";"LAS TORTUGAS";"A4449XBG";"ANTA";"A";"0722"
"00020858";"LAS VATEAS";"A4449XAW";"ANTA";"A";"0722"
"00011491";"LAS VIBORAS";"A4434XAN";"ANTA";"A";"0722"
"00011492";"LIMONCITO";"A4448XAS";"ANTA";"A";"0722"
"00011493";"LLUCHA";"A4452XAQ";"ANTA";"A";"0722"
"00011494";"LOS CHIFLES";"A4449XBH";"ANTA";"A";"0722"
"00020860";"LOS MOLLINEDOS";"A4448XAG";"ANTA";"A";"0722"
"00011495";"LOS NOGALES";"A4434XAO";"ANTA";"A";"0722"
"00011496";"LUIS BURELA";"A4449XBI";"ANTA";"A";"0722"
"00011497";"MACAPILLO";"A4452XAR";"ANTA";"A";"0722"
"00011498";"MANGA VIEJA";"A4452XAC";"ANTA";"A";"0722"
"00011499";"MEDIA LUNA";"A4449XAL";"ANTA";"A";"0722"
"00011500";"MINAS YPF";"A4448XAF";"ANTA";"A";"0722"
"00020862";"MIRAFLORES";"A4448XAH";"ANTA";"A";"0722"
"00011501";"MOLLE POZO";"A4446XAE";"ANTA";"A";"0722"
"00011502";"MONASTERIOS";"A4449XAM";"ANTA";"A";"0722"
"00011504";"PALERMO";"A4449XAN";"ANTA";"A";"0722"
"00020864";"PALO A PIQUE";"A4449XAX";"ANTA";"A";"0722"
"00011506";"PASO DE LA CRUZ";"A4434XAI";"ANTA";"A";"0722"
"00011507";"PASO DE LAS CARRETAS";"A4446XAF";"ANTA";"A";"0722"
"00020867";"PASO LA CRUZ";"A4446XAS";"ANTA";"A";"0722"
"00011508";"PIQUETE CABADO";"A4449XAP";"ANTA";"A";"0722"
"00011509";"PIQUETE DE ANTA";"A4448XAT";"ANTA";"A";"0722"
"00011510";"POBLACION";"A4448XAU";"ANTA";"A";"0722"
"00020866";"POSO DE ALGARROBO";"A4448XAI";"ANTA";"A";"0722"
"00011512";"POTRERILLO";"A4446XAO";"ANTA";"A";"0722"
"00020868";"POZO CANTADO";"A4448XBD";"ANTA";"A";"0722"
"00020870";"POZO DEL GREAL";"A4448XBE";"ANTA";"A";"0722"
"00011513";"POZO GRANDE";"A4449XBJ";"ANTA";"A";"0722"
"00011514";"POZO VERDE";"A4449XBK";"ANTA";"A";"0722"
"00011515";"PRINGLES";"A4446XAP";"ANTA";"A";"0722"
"00020871";"PUERTA BLANCA";"A4448XBC";"ANTA";"A";"0722"
"00011516";"PULI";"A4446XAQ";"ANTA";"A";"0722"
"00011517";"QUEBRACHAL";"A4448XAV";"ANTA";"A";"0722"
"00011518";"RIO DEL VALLE";"A4449XBL";"ANTA";"A";"0722"
"00011519";"ROCA";"A4452XAE";"ANTA";"A";"0722"
"00011520";"ROSARIO DEL DORADO";"A4449XAQ";"ANTA";"A";"0722"
"00011521";"SALADILLO";"A4434XAJ";"ANTA";"A";"0722"
"00020872";"SALADILLO DE JUAREZ";"A4448XBF";"ANTA";"A";"0722"
"00020873";"SALTA FORESTAL KILOMETRO 50";"A4449XBN";"ANTA";"A";"0722"
"00020874";"SAN FERNANDO";"A4448XBG";"ANTA";"A";"0722"
"00011522";"SAN GABRIEL";"A4452XAF";"ANTA";"A";"0722"
"00020875";"SAN IGNACIO";"A4448XBH";"ANTA";"A";"0722"
"00020877";"SAN JORGE";"A4448XAJ";"ANTA";"A";"0722"
"00011523";"SAN JUAN";"A4446XAG";"ANTA";"A";"0722"
"00011524";"SAN LUIS";"A4449XAR";"ANTA";"A";"0722"
"00011525";"SAN MARTIN";"A4449XAS";"ANTA";"A";"0722"
"00011526";"SAN RAMON";"A4449XAT";"ANTA";"A";"0722"
"00011527";"SAN SEBASTIAN";"A4434XAK";"ANTA";"A";"0722"
"00020878";"SANTA ANA";"A4448XAK";"ANTA";"A";"0722"
"00011528";"SANTA ROSA";"A4452XAG";"ANTA";"A";"0722"
"00011529";"SANTA ROSA DE ANTA";"A4452XAH";"ANTA";"A";"0722"
"00020881";"SANTA TERESA";"A4190XAA";"ANTA";"A";"0722"
"00020889";"SANTA VICTORIA";"A4128XAA";"ANTA";"A";"0722"
"00011530";"SANTO DOMINGO";"A4449XBM";"ANTA";"A";"0722"
"00011534";"SANTO DOMINGO";"A4448XAX";"ANTA";"A";"0722"
"00020883";"SANTO DOMINGO ANTA";"A4449XAY";"ANTA";"A";"0722"
"00020884";"SAPO QUEMADO";"A4448XAL";"ANTA";"A";"0722"
"00011531";"SAUCE BAJADA";"A4434XAP";"ANTA";"A";"0722"
"00011532";"SAUCE SOLO";"A4448XAW";"ANTA";"A";"0722"
"00020885";"SAUZAL";"A4446XAH";"ANTA";"A";"0722"
"00011533";"SIMBOLAR";"A4452XAT";"ANTA";"A";"0722"
"00020886";"SIMBOLITO";"A4448XAM";"ANTA";"A";"0722"
"00011536";"SUNCHALITO";"A4452XAU";"ANTA";"A";"0722"
"00011537";"TACO PAMPA";"A4452XAV";"ANTA";"A";"0722"
"00020887";"TALA MUYO";"A4446XAI";"ANTA";"A";"0722"
"00011538";"TALAVERA";"A4452XAW";"ANTA";"A";"0722"
"00011539";"TOLLOCHE";"A4452XAX";"ANTA";"A";"0722"
"00011540";"TORO PAMPA";"A4452XAI";"ANTA";"A";"0722"
"00011541";"TOTORAL";"A4449XAU";"ANTA";"A";"0722"
"00011542";"TUNALITO";"A4449XAV";"ANTA";"A";"0722"
"00011543";"VENCIDA";"A4452XAJ";"ANTA";"A";"0722"
"00020890";"VIEJA POZO";"A4448XAN";"ANTA";"A";"0722"
"00011544";"VINAL POZO";"A4452XAK";"ANTA";"A";"0722"
"00020893";"VINALITO";"A4452XAL";"ANTA";"A";"0722"
"00020894";"WEISBURG";"A4448XAP";"ANTA";"A";"0722"
"00011545";"YASQUIASME";"A4430XAA";"ANTA";"A";"0722"
"00026299";"BARRIO PARABOLICA";"A4417XAJ";"CACHI";"A";"0723"
"00020903";"BUENA VISTA";"A4415XAE";"CACHI";"A";"0723"
"00011546";"CACHI";"";"CACHI";"A";"0723"
"00020904";"CACHI ADENTRO";"A4417XAD";"CACHI";"A";"0723"
"00020905";"EL POTRERO";"A4415XAF";"CACHI";"A";"0723"
"00020907";"ESCALCHI";"A4417XAK";"CACHI";"A";"0723"
"00026300";"FINCA BELGRANO";"A4415XAG";"CACHI";"A";"0723"
"00026295";"FUERTE ALTO";"A4417XAG";"CACHI";"A";"0723"
"00011547";"LA PAYA";"A4419XAA";"CACHI";"A";"0723"
"00026296";"LAS ARCAS";"A4417XAH";"CACHI";"A";"0723"
"00020909";"LAS CORTADERAS";"A4415XAK";"CACHI";"A";"0723"
"00020910";"LAS PAILAS";"A4417XAL";"CACHI";"A";"0723"
"00026297";"LAS TRANCAS";"A4417XAI";"CACHI";"A";"0723"
"00026301";"OJO DE AGUA";"A4415XAH";"CACHI";"A";"0723"
"00011548";"PALERMO OESTE";"A4415XAB";"CACHI";"A";"0723"
"00011549";"PAYOGASTA";"";"CACHI";"A";"0723"
"00020911";"PIUL";"A4415XAJ";"CACHI";"A";"0723"
"00020915";"POTRERO";"A4415XAL";"CACHI";"A";"0723"
"00011550";"PUEBLO VIEJO";"A4417XAA";"CACHI";"A";"0723"
"00011551";"PUERTA DE LA PAYA";"A4417XAC";"CACHI";"A";"0723"
"00011552";"PUIL";"A4417XAB";"CACHI";"A";"0723"
"00011553";"PUNTA DE AGUA";"A4415XAC";"CACHI";"A";"0723"
"00016661";"RIO BLANCO";"A4415XAA";"CACHI";"A";"0723"
"00011554";"RIO TORO";"A4415XAD";"CACHI";"A";"0723"
"00020919";"RUMIHUASI";"A4417XAE";"CACHI";"A";"0723"
"00020921";"SAN JOSE DE COLTE";"A4417XAF";"CACHI";"A";"0723"
"00011555";"SAN JOSE DE ESCALCHI";"A4419XAB";"CACHI";"A";"0723"
"00026302";"TONCO";"A4415XAI";"CACHI";"A";"0723"
"00011556";"VALLECITO";"A4644XAA";"CACHI";"A";"0723"
"00011557";"CAFAYATE";"";"CAFAYATE";"A";"0724"
"00011558";"EL RECREO";"A4427XAI";"CAFAYATE";"A";"0724"
"00020936";"FINCA LA ROSA";"A4427XAL";"CAFAYATE";"A";"0724"
"00016662";"JACIMANA";"A4427XAA";"CAFAYATE";"A";"0724"
"00016663";"LA ARCADIA";"A4427XAB";"CAFAYATE";"A";"0724"
"00011559";"LA ARMONIA";"A4427XAJ";"CAFAYATE";"A";"0724"
"00011560";"LA BANDA";"A4427XAK";"CAFAYATE";"A";"0724"
"00020939";"LA CIENEGUITA";"A4141XAA";"CAFAYATE";"A";"0724"
"00011561";"LA PUNILLA";"A4427XAE";"CAFAYATE";"A";"0724"
"00011562";"LAS CONCHAS";"A4427XAF";"CAFAYATE";"A";"0724"
"00011563";"LOROHUASI";"A4427XAG";"CAFAYATE";"A";"0724"
"00020941";"LOS ALAMOS";"A4427XAM";"CAFAYATE";"A";"0724"
"00020943";"MACHO RASTROJO";"A4141XAB";"CAFAYATE";"A";"0724"
"00016664";"MONTE VIEJO";"A4427XAC";"CAFAYATE";"A";"0724"
"00020944";"QUISCA GRANDE";"A4141XAC";"CAFAYATE";"A";"0724"
"00016665";"SAN ANTONIO";"A4427XAD";"CAFAYATE";"A";"0724"
"00020946";"SAN ISIDRO";"A4427XAN";"CAFAYATE";"A";"0724"
"00011564";"TOLOMBON";"";"CAFAYATE";"A";"0724"
"00011565";"YACOCHUYA";"A4427XAH";"CAFAYATE";"A";"0724"
"00020947";"YANCHUYA";"A4427XAO";"CAFAYATE";"A";"0724"
"00021049";"ATOCHA";"A4401XAG";"CAPITAL";"A";"0725"
"00021052";"BELGRANO";"A4400XAG";"CAPITAL";"A";"0725"
"00021055";"BUENA VISTA";"A4400XAH";"CAPITAL";"A";"0725"
"00021068";"CAMPO CASEROS";"A4400XAR";"CAPITAL";"A";"0725"
"00021070";"CASTELLANOS";"A4401XAH";"CAPITAL";"A";"0725"
"00016666";"CHACHAPOYAS";"A4400XAA";"CAPITAL";"A";"0725"
"00021076";"CHAMICAL";"A4400XAI";"CAPITAL";"A";"0725"
"00021078";"COBAS";"A4400XAJ";"CAPITAL";"A";"0725"
"00021080";"EL AYBAL";"A4400XAK";"CAPITAL";"A";"0725"
"00021082";"EL PRADO";"A4400XAS";"CAPITAL";"A";"0725"
"00021089";"ESTOLA";"A4400XAT";"CAPITAL";"A";"0725"
"00021093";"GENERAL ALVARADO";"A4401XAI";"CAPITAL";"A";"0725"
"00021096";"HIGUERILLAS";"A4400XAN";"CAPITAL";"A";"0725"
"00021099";"KILOMETRO 1129";"A4400XAO";"CAPITAL";"A";"0725"
"00021101";"LA CRUZ";"A4400XAP";"CAPITAL";"A";"0725"
"00021103";"LA ISLA";"A4401XAA";"CAPITAL";"A";"0725"
"00021105";"LA LAGUNILLA";"A4400XAB";"CAPITAL";"A";"0725"
"00021112";"LA PEDRERA";"A4400XAD";"CAPITAL";"A";"0725"
"00021114";"LA QUESERA";"A4400XAL";"CAPITAL";"A";"0725"
"00021118";"LA TROJA";"A4400XAM";"CAPITAL";"A";"0725"
"00021121";"LA UNION";"A4401XAF";"CAPITAL";"A";"0725"
"00021124";"LAS COSTAS";"A4401XAB";"CAPITAL";"A";"0725"
"00021126";"LIMACHE";"A4400XAE";"CAPITAL";"A";"0725"
"00021128";"LOS ALAMOS";"A4401XAC";"CAPITAL";"A";"0725"
"00021130";"LOS NOQUES";"A4400XAF";"CAPITAL";"A";"0725"
"00021133";"PAREDES";"A4401XAD";"CAPITAL";"A";"0725"
"00021136";"RIO ANCHO";"A4400XAQ";"CAPITAL";"A";"0725"
"00011566";"SALTA";"";"CAPITAL";"A";"0725"
"00021140";"SAN LORENZO";"A4193XAA";"CAPITAL";"A";"0725"
"00016667";"CEBADOS";"A4403XAA";"CERRILLOS";"A";"0726"
"00011567";"CERRILLOS";"";"CERRILLOS";"A";"0726"
"00021182";"COLON";"A4403XAR";"CERRILLOS";"A";"0726"
"00021184";"EL COLEGIO";"A4403XAS";"CERRILLOS";"A";"0726"
"00021185";"EL HUAICO";"A4403XAT";"CERRILLOS";"A";"0726"
"00011568";"EL LEONCITO";"A4421XAA";"CERRILLOS";"A";"0726"
"00016668";"FINCA CAMINO A COLON";"A4403XAB";"CERRILLOS";"A";"0726"
"00016669";"FINCA CAMINO VALLISIOS";"A4403XAC";"CERRILLOS";"A";"0726"
"00016670";"FINCA COLON";"A4403XAD";"CERRILLOS";"A";"0726"
"00016671";"FINCA EL COLEGIO";"A4403XAE";"CERRILLOS";"A";"0726"
"00021187";"HUMAITA";"A4401XAJ";"CERRILLOS";"A";"0726"
"00016672";"ISLA DE LA CANDELARIA";"A4403XAF";"CERRILLOS";"A";"0726"
"00016673";"KILOMETRO 1156";"A4403XAG";"CERRILLOS";"A";"0726"
"00021188";"LA CANDELARIA";"A4126XAA";"CERRILLOS";"A";"0726"
"00021189";"LA FALDA";"A4403XAL";"CERRILLOS";"A";"0726"
"00016674";"LA FAMA";"A4403XAH";"CERRILLOS";"A";"0726"
"00021190";"LA ISLA";"A4400XAU";"CERRILLOS";"A";"0726"
"00011569";"LA MERCED";"A4421XAB";"CERRILLOS";"A";"0726"
"00021191";"LAS BLANCAS";"A4403XAM";"CERRILLOS";"A";"0726"
"00021192";"LAS PALMAS";"A4403XAN";"CERRILLOS";"A";"0726"
"00011570";"LAS PIRCAS";"A4421XAC";"CERRILLOS";"A";"0726"
"00011571";"LAS TIENDITAS";"A4421XAD";"CERRILLOS";"A";"0726"
"00021193";"LOS ALAMOS";"A4403XAO";"CERRILLOS";"A";"0726"
"00016675";"OLMOS";"A4403XAI";"CERRILLOS";"A";"0726"
"00016676";"PARAJE ZANJON";"A4403XAJ";"CERRILLOS";"A";"0726"
"00016677";"PIEDEMONTE";"A4403XAK";"CERRILLOS";"A";"0726"
"00016678";"RIO ANCHO";"A4403XAU";"CERRILLOS";"A";"0726"
"00016679";"RODEOS";"A4403XAV";"CERRILLOS";"A";"0726"
"00021194";"SAN AGUSTIN";"A4421XAE";"CERRILLOS";"A";"0726"
"00021195";"SAN CLEMENTE";"A4403XAP";"CERRILLOS";"A";"0726"
"00011572";"SAN GERONIMO";"A4421XAF";"CERRILLOS";"A";"0726"
"00011573";"SAN MARTIN";"A4421XAG";"CERRILLOS";"A";"0726"
"00016680";"SAN MIGUEL";"A4403XAW";"CERRILLOS";"A";"0726"
"00016681";"SANTA ELENA";"A4403XAX";"CERRILLOS";"A";"0726"
"00011574";"SUMALAO";"A4421XAH";"CERRILLOS";"A";"0726"
"00016682";"VILLA LOS TARCOS";"A4403XAY";"CERRILLOS";"A";"0726"
"00021197";"ZANJON";"A4403XAQ";"CERRILLOS";"A";"0726"
"00011575";"AGUA NEGRA";"A4415XAS";"CHICOANA";"A";"0727"
"00021205";"AMPATA";"A4415XBE";"CHICOANA";"A";"0727"
"00021206";"ATUDILLO";"A4415XBF";"CHICOANA";"A";"0727"
"00011576";"BELLA VISTA";"A4423XAU";"CHICOANA";"A";"0727"
"00011577";"CACHO MOLINO";"A4421XAM";"CHICOANA";"A";"0727"
"00011578";"CALVIMONTE";"A4421XAN";"CHICOANA";"A";"0727"
"00011579";"CAMPO ALEGRE";"A4423XAV";"CHICOANA";"A";"0727"
"00021207";"CERRO MAL CANTO";"A4415XBG";"CHICOANA";"A";"0727"
"00011580";"CHICOANA";"";"CHICOANA";"A";"0727"
"00011581";"CHIVILME";"A4423XAW";"CHICOANA";"A";"0727"
"00021208";"CHORRO BLANCO";"A4415XAV";"CHICOANA";"A";"0727"
"00021209";"COLONIA EL FUERTE";"A4421XAO";"CHICOANA";"A";"0727"
"00021210";"CUESTA CHICA";"A4415XAW";"CHICOANA";"A";"0727"
"00011582";"CUESTA DEL OBISPO";"A4417XAM";"CHICOANA";"A";"0727"
"00011583";"DOCTOR FACUNDO ZUVIRIA";"A4423XAB";"CHICOANA";"A";"0727"
"00011584";"EL CANDADO";"A4415XAM";"CHICOANA";"A";"0727"
"00011585";"EL CARRIL";"";"CHICOANA";"A";"0727"
"00011586";"EL MARAY";"A4415XAN";"CHICOANA";"A";"0727"
"00021211";"EL MOLLAR";"A4421XAP";"CHICOANA";"A";"0727"
"00011587";"EL MOYAR";"A4423XAC";"CHICOANA";"A";"0727"
"00021213";"EL NOGALAR";"A4415XAX";"CHICOANA";"A";"0727"
"00021214";"EL POTRERO DE DIAZ";"A4421XAQ";"CHICOANA";"A";"0727"
"00011588";"EL QUEMADO";"A4423XAD";"CHICOANA";"A";"0727"
"00021215";"EL RODEO";"A4415XAY";"CHICOANA";"A";"0727"
"00021217";"EL SIMBOLAR";"A4421XAR";"CHICOANA";"A";"0727"
"00021218";"EL SUNCHAL";"A4415XAZ";"CHICOANA";"A";"0727"
"00011589";"EL TIPAL";"A4423XAE";"CHICOANA";"A";"0727"
"00021219";"ESCOIPE";"A4421XAT";"CHICOANA";"A";"0727"
"00021220";"ESTACION ZUVIRIA";"A4421XAU";"CHICOANA";"A";"0727"
"00021222";"HUAYRA HUASY";"A4415XBH";"CHICOANA";"A";"0727"
"00011590";"LA CALAVERA";"A4423XAF";"CHICOANA";"A";"0727"
"00011591";"LA ESPERANZA";"A4423XAG";"CHICOANA";"A";"0727"
"00011592";"LA GUARDIA";"A4423XAH";"CHICOANA";"A";"0727"
"00021223";"LA HERRADURA";"A4415XBI";"CHICOANA";"A";"0727"
"00011593";"LA MARGARITA";"A4423XAP";"CHICOANA";"A";"0727"
"00011594";"LA MAROMA";"A4423XAQ";"CHICOANA";"A";"0727"
"00011595";"LA TOMA";"A4421XAK";"CHICOANA";"A";"0727"
"00021224";"LA YESERA";"A4415XBJ";"CHICOANA";"A";"0727"
"00011596";"LAS ANIMAS";"A4415XAP";"CHICOANA";"A";"0727"
"00011597";"LAS GARZAS";"A4421XAL";"CHICOANA";"A";"0727"
"00011598";"LAS MORAS";"A4423XAR";"CHICOANA";"A";"0727"
"00011599";"LAS ZANJAS";"A4415XAQ";"CHICOANA";"A";"0727"
"00021225";"LOS LAURELES";"A4415XBK";"CHICOANA";"A";"0727"
"00011600";"LOS LOS";"A4423XAS";"CHICOANA";"A";"0727"
"00021226";"MAL CANTE";"A4415XBL";"CHICOANA";"A";"0727"
"00011601";"MAL PASO";"A4415XAR";"CHICOANA";"A";"0727"
"00011602";"MOLINO";"A4423XAT";"CHICOANA";"A";"0727"
"00021227";"MOLINO DE GONGORA";"A4415XBA";"CHICOANA";"A";"0727"
"00011603";"PALMIRA";"A4423XAI";"CHICOANA";"A";"0727"
"00011604";"PEDREGAL";"A4423XAJ";"CHICOANA";"A";"0727"
"00021228";"PIE DE LA CUESTA";"A4415XBB";"CHICOANA";"A";"0727"
"00021229";"PIEDRA DEL MOLINO";"A4421XAS";"CHICOANA";"A";"0727"
"00011606";"POTRERO DE DIAZ";"A4423XAL";"CHICOANA";"A";"0727"
"00011607";"PULARES";"A4423XAM";"CHICOANA";"A";"0727"
"00011608";"QUEBRADA DE ESCOIPE";"A4415XAO";"CHICOANA";"A";"0727"
"00011609";"SAN ANTONIO CHICOANA";"A4421XAI";"CHICOANA";"A";"0727"
"00011610";"SAN FERNANDO DE ESCOIPE";"A4423XAN";"CHICOANA";"A";"0727"
"00011611";"SAN JOAQUIN";"A4423XAO";"CHICOANA";"A";"0727"
"00011612";"SAN JOSE";"A4421XAJ";"CHICOANA";"A";"0727"
"00011614";"SAN MARTIN LA CUESTA";"A4415XAT";"CHICOANA";"A";"0727"
"00011615";"SANTA ANA";"A4423XAY";"CHICOANA";"A";"0727"
"00011616";"SANTA GERTRUDIS";"A4423XAZ";"CHICOANA";"A";"0727"
"00011617";"SANTA ROSA";"A4423XBA";"CHICOANA";"A";"0727"
"00011618";"TILIAN";"A4423XBB";"CHICOANA";"A";"0727"
"00021230";"TORO YACO";"A4415XBC";"CHICOANA";"A";"0727"
"00021231";"VALLE ENCANTADO";"A4415XBD";"CHICOANA";"A";"0727"
"00011619";"VILLA FANNY";"A4423XBC";"CHICOANA";"A";"0727"
"00011621";"YACERA";"A4415XAU";"CHICOANA";"A";"0727"
"00011623";"AGUAS CALIENTES";"A4430XAN";"GENERAL MARTIN M GUEMES";"A";"0729"
"00011624";"ALGARROBAL";"A4430XAC";"GENERAL MARTIN M GUEMES";"A";"0729"
"00021244";"ALTOS HORNOS GUEMES";"A4432XAU";"GENERAL MARTIN M GUEMES";"A";"0729"
"00011625";"BETANIA";"A4432XAA";"GENERAL MARTIN M GUEMES";"A";"0729"
"00011626";"CABEZA DE BUEY";"A4434XAS";"GENERAL MARTIN M GUEMES";"A";"0729"
"00011627";"CAMPO SANTO";"A4432XAB";"GENERAL MARTIN M GUEMES";"A";"0729"
"00011628";"CANTERA DEL SAUCE";"A4432XAC";"GENERAL MARTIN M GUEMES";"A";"0729"
"00011629";"CHACRA EXPERIMENTAL";"A4430XAD";"GENERAL MARTIN M GUEMES";"A";"0729"
"00011630";"COBA";"A4434XAT";"GENERAL MARTIN M GUEMES";"A";"0729"
"00011631";"COBOS";"A4432XAD";"GENERAL MARTIN M GUEMES";"A";"0729"
"00021245";"COLONIA SANTA ROSA DE LIMA";"A4432XAV";"GENERAL MARTIN M GUEMES";"A";"0729"
"00011632";"CRUZ QUEMADA";"A4434XAU";"GENERAL MARTIN M GUEMES";"A";"0729"
"00021246";"DIQUE EMBALSE CAMPO ALEGRE";"A4432XAH";"GENERAL MARTIN M GUEMES";"A";"0729"
"00011633";"EBRO";"A4434XAV";"GENERAL MARTIN M GUEMES";"A";"0729"
"00011634";"EL ALGARROBO";"A4434XAW";"GENERAL MARTIN M GUEMES";"A";"0729"
"00011635";"EL BORDE DE SAN MIGUEL";"A4432XAL";"GENERAL MARTIN M GUEMES";"A";"0729"
"00021247";"EL BORDO";"A4430XAJ";"GENERAL MARTIN M GUEMES";"A";"0729"
"00021248";"EL CEIBAL";"A4430XAK";"GENERAL MARTIN M GUEMES";"A";"0729"
"00011636";"EL ESTANQUE";"A4434XBE";"GENERAL MARTIN M GUEMES";"A";"0729"
"00011637";"EL OSO";"A4434XBF";"GENERAL MARTIN M GUEMES";"A";"0729"
"00021249";"EL PRADO";"A4432XAI";"GENERAL MARTIN M GUEMES";"A";"0729"
"00021250";"EL SALTO";"A4434XBD";"GENERAL MARTIN M GUEMES";"A";"0729"
"00011638";"EL SAUCE";"A4432XAM";"GENERAL MARTIN M GUEMES";"A";"0729"
"00011639";"EL ZANJON";"A4434XBG";"GENERAL MARTIN M GUEMES";"A";"0729"
"00021251";"EL ZAPALLAR";"A4430XAL";"GENERAL MARTIN M GUEMES";"A";"0729"
"00011640";"GALLINATO";"A4432XAN";"GENERAL MARTIN M GUEMES";"A";"0729"
"00011975";"GENERAL GUEMES";"";"GENERAL MARTIN M GUEMES";"A";"0729"
"00011641";"INGENIO SAN ISIDRO";"A4432XAO";"GENERAL MARTIN M GUEMES";"A";"0729"
"00011642";"KILOMETRO 1094";"A4430XAO";"GENERAL MARTIN M GUEMES";"A";"0729"
"00011643";"KILOMETRO 1102";"A4432XAP";"GENERAL MARTIN M GUEMES";"A";"0729"
"00021252";"LA DEFENSA";"A4430XAM";"GENERAL MARTIN M GUEMES";"A";"0729"
